#{"t_start": 1761408449.496938, "env_id": "None"}
r,l,t
69.5,70,488.522703
43.08,45,489.367972
56.3,58,490.328241
57.5,58,491.257151
62.229,62,492.23172
44.1,46,493.070119
43.5,46,493.921426
43.9,46,494.783783
47.1,48,495.682689
44.7,46,496.550091
48.1,50,497.447364
36.9,40,498.203453
56.9,58,499.192542
48.084,51,500.076717
36.5,40,500.819997
37.1,40,501.587849
43.3,46,502.427834
49.263,50,503.300586
43.7,46,504.140237
46.5,48,505.004503
42.3,46,505.841522
36.9,40,506.621131
44.1,46,507.45066
44.3,46,508.275894
37.3,40,508.996116
35.1,38,509.711053
35.7,38,510.43951
55.1,56,511.404271
58.1,58,512.317421
58.1,58,513.291793
64.5,64,514.207673
37.7,40,514.968213
37.3,40,515.722391
49.9,52,516.650748
43.7,46,517.511459
39.7,42,518.295962
41.9,44,519.09795
36.9,40,519.842499
44.5,46,520.704834
53.1,54,521.633987
36.9,40,522.409294
102.7,98,523.503493
42.7,46,524.708635
57.9,58,525.717429
58.3,58,526.728781
65.5,64,527.761982
54.3,56,528.699079
37.7,40,529.488899
37.5,40,530.251567
50.5,52,531.155985
43.7,46,532.019728
37.5,40,532.831722
37.9,40,533.636108
49.7,52,534.563381
44.7,46,535.433798
62.3,64,536.447453
51.1,52,537.396467
50.064,51,538.305225
57.5,58,539.240457
48.7,50,540.140639
43.9,46,541.009108
39.635,42,541.788379
63.7,64,542.728176
44.1,46,543.620533
36.3,40,544.409905
37.1,40,545.266975
37.3,40,546.15537
45.7,46,547.020784
37.1,40,547.777528
38.3,40,548.586052
37.9,40,549.350544
43.7,46,550.185958
53.7,54,551.108632
50.9,52,552.044887
57.5,58,553.031046
45.1,46,553.943534
51.1,52,554.843629
57.9,58,555.778844
36.9,40,556.525581
53.7,56,557.585428
36.9,40,558.369412
42.3,46,559.233167
63.3,64,560.167486
44.5,46,561.057244
39.1,42,561.838083
51.1,52,562.753042
37.5,40,563.536309
59.1,58,564.534996
50.5,52,565.482481
28.3,32,566.101194
43.864,45,566.973014
59.26,59,567.972399
67.7,66,569.075667
57.7,58,570.072896
30.9,34,570.708016
64.7,64,571.711288
37.1,40,572.581424
49.3,50,573.433336
36.9,40,574.181616
44.3,46,575.013454
51.1,52,575.926256
56.5,58,576.869342
45.3,46,577.787497
37.3,40,578.540766
45.1,46,579.395827
44.1,46,580.287639
38.3,40,581.035671
42.3,44,581.850371
50.668,51,582.716656
36.9,40,583.4588
44.3,46,584.323593
43.9,46,585.202074
37.1,40,585.988722
36.9,40,586.743923
38.5,40,587.48715
38.1,40,588.262025
51.5,52,589.144524
45.885,48,590.063393
59.1,58,591.032999
37.1,40,591.848531
43.092,45,592.726902
58.3,58,593.748098
44.7,46,594.582693
52.1,52,595.483678
44.1,46,596.327379
33.3,36,597.025019
51.1,52,597.93761
50.1,52,598.81335
38.5,40,599.568623
51.9,54,600.528826
44.5,46,601.347295
66.1,64,602.25867
72.3,70,603.292529
45.1,46,604.133695
39.7,42,604.936928
50.9,52,605.885905
44.9,46,606.721049
42.1,44,607.540588
57.9,58,608.487994
51.3,52,609.39065
50.3,52,610.311539
57.3,58,611.262333
38.3,40,612.020767
38.1,40,612.776103
52.5,52,613.687473
39.1,40,614.455861
38.1,40,615.258683
51.9,52,616.221447
37.3,40,616.973572
51.3,52,617.885581
65.3,64,618.883036
38.1,40,619.637192
40.9,42,620.440729
35.9,38,621.175467
44.9,46,622.074229
36.3,40,622.828561
45.5,46,623.673157
38.9,40,624.418537
58.7,58,625.353254
41.9,44,626.244542
79.3,76,627.269969
32.5,36,628.050086
39.1,40,628.793744
38.1,40,629.572187
44.9,46,630.405191
51.3,52,631.316905
35.9,38,632.061727
33.7,36,632.738429
43.7,46,633.590799
38.9,40,634.363703
40.1,42,635.145339
38.3,40,635.898291
72.3,70,636.975706
33.5,36,637.679648
51.9,52,638.629308
52.1,52,639.535455
42.3,44,640.344467
43.7,46,641.215746
44.3,46,642.114733
40.5,42,642.925086
59.3,58,643.914399
51.9,52,644.824175
45.5,46,645.672509
44.3,46,646.520863
58.5,58,647.765592
37.7,40,648.750566
49.5,50,649.631785
73.5,70,650.64099
34.9,40,651.396147
45.7,46,652.233038
38.1,40,652.990699
38.1,40,653.741453
43.664,45,654.564559
37.7,40,655.33093
52.3,52,656.247187
50.7,50,657.123147
47.3,48,658.006818
38.5,40,658.763127
52.5,52,659.688733
38.3,40,660.427388
61.831,60,661.40966
58.5,58,662.347122
65.5,64,663.351144
51.9,52,664.305079
38.3,40,665.056727
50.9,50,665.947171
38.3,40,666.694618
45.3,46,667.519237
61.3,60,668.473487
38.1,40,669.226498
59.3,58,670.170723
37.5,40,670.925794
38.1,40,671.661545
38.3,40,672.4069
64.7,64,673.393988
51.7,52,674.295357
38.7,40,675.025311
52.1,52,675.938298
37.1,40,676.699629
51.9,52,677.606426
45.3,46,678.419917
45.3,46,679.244333
49.9,50,680.137302
53.1,52,681.01208
44.9,46,681.838372
46.1,46,682.650473
51.5,52,683.587144
45.9,46,684.473747
