timestep,AgentsAlive,AvgEnergy,GiniEnergy,TotalScar,MinedRenewable,MinedNonrenewable
37,15.0,6.833333333333303,0.3993495934959368,8.539999999999994,0.0,0.0
38,15.0,6.333333333333303,0.4308771929824582,8.139999999999993,0.0,0.0
39,15.0,5.833333333333302,0.46780952380952634,7.739999999999994,0.0,0.0
40,15.0,9.333333333333307,0.4066666666666685,7.339999999999994,0.0,0.0
41,15.0,9.033333333333307,0.43198031980319973,7.669999999999994,0.0,5.0
42,15.0,10.066666666666642,0.415894039735101,7.259999999999994,0.0,5.0
43,15.0,9.566666666666642,0.4376306620209076,6.859999999999993,0.0,0.0
44,15.0,10.399999999999975,0.4068376068376087,6.459999999999993,0.0,0.0
45,15.0,9.899999999999975,0.427384960718296,6.0599999999999925,0.0,0.0
46,15.0,12.466666666666647,0.32228163992869985,5.659999999999993,0.0,10.0
47,15.0,12.166666666666648,0.33607305936073173,5.259999999999993,0.0,5.0
48,15.0,11.666666666666647,0.35047619047619194,4.859999999999992,0.0,0.0
49,15.0,11.166666666666647,0.3661691542288572,4.459999999999992,0.0,0.0
50,15.0,11.99999999999998,0.3259259259259273,4.069999999999993,0.0,0.0
51,15.0,11.49999999999998,0.3400966183574894,3.699999999999993,0.0,0.0
52,15.0,14.999999999999988,0.18074074074074176,3.3499999999999934,0.0,0.0
53,15.0,14.699999999999987,0.18926681783824728,3.7599999999999936,0.0,5.0
54,15.0,14.199999999999987,0.19593114241001675,3.3999999999999937,0.0,0.0
55,15.0,13.766666666666653,0.2040355125100899,3.039999999999994,4.0,5.0
56,15.0,13.333333333333318,0.2113333333333347,2.689999999999994,2.0,0.0
57,15.0,12.833333333333318,0.21956709956710085,2.3699999999999948,0.0,0.0
58,15.0,13.866666666666655,0.1858974358974368,2.819999999999995,0.0,5.0
59,15.0,13.366666666666653,0.1928512053200342,2.5199999999999947,0.0,0.0
60,15.0,12.866666666666653,0.20034542314335146,2.2599999999999962,0.0,0.0
61,15.0,12.433333333333318,0.2144772117962479,2.7799999999999963,4.0,5.0
62,15.0,12.133333333333319,0.23516483516483633,3.2999999999999967,0.0,5.0
63,15.0,11.633333333333317,0.24527220630372604,3.0999999999999974,0.0,0.0
64,15.0,12.666666666666654,0.20280701754386055,4.429999999999998,0.0,5.0
65,15.0,12.166666666666652,0.21114155251141664,4.249999999999998,0.0,0.0
66,15.0,11.533333333333319,0.22042389210019353,4.099999999999999,4.0,0.0
67,15.0,10.899999999999983,0.23486238532110182,3.9599999999999986,4.0,0.0
68,15.0,10.399999999999983,0.24615384615384706,3.8199999999999985,0.0,0.0
69,15.0,10.099999999999982,0.2640264026402652,4.429999999999998,0.0,5.0
70,15.0,10.933333333333318,0.240650406504066,2.9099999999999984,0.0,0.0
71,15.0,10.433333333333316,0.2521831735889253,2.7899999999999983,0.0,0.0
72,15.0,9.933333333333316,0.26487695749440787,2.669999999999998,0.0,0.0
73,15.0,9.299999999999983,0.2848267622461178,2.549999999999998,4.0,0.0
74,15.0,8.866666666666648,0.29674185463659253,2.429999999999998,2.0,0.0
75,15.0,8.566666666666647,0.29260700389105176,3.039999999999998,0.0,5.0
76,15.0,9.399999999999983,0.2846335697399536,2.8999999999999977,0.0,0.0
77,15.0,8.89999999999998,0.30062421972534437,2.7599999999999976,0.0,0.0
78,15.0,8.39999999999998,0.31851851851851976,2.629999999999998,0.0,0.0
79,15.0,7.899999999999981,0.33867791842475525,2.509999999999998,0.0,0.0
80,15.0,7.39999999999998,0.36156156156156305,2.389999999999998,0.0,0.0
81,15.0,6.89999999999998,0.387761674718198,2.269999999999998,0.0,0.0
82,15.0,9.06666666666665,0.3617647058823541,2.1499999999999977,0.0,0.0
83,15.0,8.766666666666648,0.38326996197718777,2.0299999999999976,0.0,5.0
84,15.0,8.266666666666648,0.4064516129032272,1.9099999999999975,0.0,0.0
85,15.0,7.766666666666648,0.43261802575107455,1.7899999999999974,0.0,0.0
86,15.0,8.599999999999984,0.42273901808785674,1.6699999999999973,0.0,0.0
87,15.0,8.299999999999981,0.4476572958500684,2.279999999999997,0.0,5.0
88,15.0,9.333333333333316,0.42000000000000126,2.1399999999999975,0.0,5.0
89,15.0,8.833333333333316,0.44377358490566166,1.9999999999999973,0.0,0.0
90,15.0,12.33333333333332,0.3070270270270279,1.8599999999999972,0.0,0.0
