timestep,AgentsAlive,AvgEnergy,GiniEnergy,TotalScar,MinedRenewable,MinedNonrenewable,AgentsAlive_std,AvgEnergy_std,GiniEnergy_std,TotalScar_std,MinedRenewable_std,MinedNonrenewable_std
136,14.8,55.1708571428572,0.12640547180079578,0.0,21.2,0.0,0.4,2.366119404005976,0.020411532814117565,0.0,5.075431016179808,0.0
137,14.8,55.49714285714291,0.1277181353113021,0.0,11.6,0.0,0.4,2.34218124203093,0.02005813215352816,0.0,4.882622246293481,0.0
138,14.8,55.71904761904767,0.13025738470167778,0.0,10.0,0.0,0.4,2.0673609103847457,0.020991969403708215,0.0,6.0,0.0
139,14.8,55.849809523809576,0.12797340074022534,0.0,8.4,0.0,0.4,2.2170723295115367,0.02096670027844432,0.0,4.17612260356422,0.0
140,14.8,56.709714285714334,0.13050324010072487,0.0,20.4,0.0,0.4,2.466049299465094,0.022205614484032958,0.0,6.3118935352238,0.0
141,14.8,57.409904761904805,0.1276117651924516,0.0,17.2,0.0,0.4,2.4110626066993848,0.02063884598687425,0.0,6.939740629158989,0.0
142,14.8,57.59980952380956,0.12943040835522487,0.0,9.2,0.0,0.4,2.2150639001240204,0.022349602166152865,0.0,5.946427498927402,0.0
143,14.8,57.57857142857148,0.12917836173710429,0.0,6.0,0.0,0.4,2.2745401967377807,0.02186247327009323,0.0,4.09878030638384,0.0
144,14.8,58.45676190476195,0.13090852231435263,0.0,21.6,0.0,0.4,2.4998373534393754,0.02148059005478384,0.0,4.8,0.0
145,14.8,59.01466666666671,0.1295682932224352,0.0,15.2,0.0,0.4,2.5642316641073726,0.02283027271608675,0.0,6.3999999999999995,0.0
146,14.8,59.4459047619048,0.12986305269966014,0.0,13.2,0.0,0.4,2.3439824552600377,0.02316112480829515,0.0,5.946427498927402,0.0
147,14.8,59.32638095238099,0.1303235898083847,0.0,4.4,0.0,0.4,2.467571815908636,0.02252441024362978,0.0,4.17612260356422,0.0
148,14.8,60.08895238095241,0.13405102656250528,0.0,19.6,0.0,0.4,2.6123053718907063,0.02142760792268403,0.0,4.882622246293481,0.0
149,14.8,60.605142857142894,0.13298340237089845,0.0,14.4,0.0,0.4,2.6157731287755945,0.02242387713945441,0.0,5.122499389946279,0.0
150,14.8,61.04533333333336,0.13241483517394878,0.0,13.2,0.0,0.4,2.4590846590843913,0.025271664078012367,0.0,5.67097875150313,0.0
151,14.8,61.20809523809527,0.1310486786535638,0.0,8.8,0.0,0.4,2.6893687143329044,0.02559200567368392,0.0,5.30659966456864,0.0
152,14.8,61.98000000000002,0.1328424239649155,0.0,18.4,0.0,0.4,2.7167609432328956,0.022395729282090233,0.0,5.122499389946279,0.0
153,14.8,62.41123809523812,0.13290997878727154,0.0,13.2,0.0,0.4,2.6632211346021073,0.022018061234436635,0.0,5.075431016179809,0.0
154,14.8,62.76647619047621,0.13336926017590284,0.0,12.0,0.0,0.4,2.420083347827259,0.0231447887793984,0.0,5.656854249492381,0.0
155,14.8,62.954571428571434,0.13120595408971564,0.0,9.2,0.0,0.4,2.669690396242857,0.023894121904543958,0.0,5.670978751503131,0.0
156,14.8,63.834476190476195,0.1333602077605595,0.0,20.4,0.0,0.4,2.807223393973735,0.023089423374723722,0.0,6.053098380168622,0.0
157,14.8,64.14209523809524,0.13415003303161777,0.0,11.2,0.0,0.4,2.7433646289781253,0.02232904121055583,0.0,4.664761515876241,0.0
158,14.8,64.53161904761905,0.13409456300480177,0.0,12.4,0.0,0.4,2.518918488003591,0.023149711829138074,0.0,6.3118935352238,0.0
159,14.8,64.61171428571427,0.1332377723209384,0.0,7.6,0.0,0.4,2.718559844498159,0.023864499937025555,0.0,4.882622246293481,0.0
160,14.8,65.53923809523809,0.13376944951476216,0.0,20.8,0.0,0.4,2.8816402106881447,0.023602516993954097,0.0,4.308131845707603,0.0
161,14.8,66.08914285714285,0.13334104602017788,0.0,15.6,0.0,0.4,2.9360201115179776,0.023389987035621142,0.0,5.499090833947008,0.0
162,14.8,66.22476190476189,0.13592717909830204,0.0,8.8,0.0,0.4,2.7252772269475196,0.024824482026670404,0.0,6.144916598294887,0.0
163,14.8,66.2355238095238,0.13551454375528488,0.0,6.4,0.0,0.4,2.719535642968964,0.023412250750556023,0.0,3.2,0.0
164,14.8,67.0967619047619,0.1367554915098685,0.0,20.0,0.0,0.4,2.861981908476079,0.023088173478775075,0.0,5.932958789676531,0.0
165,14.8,67.71199999999997,0.1350072284475591,0.0,16.0,0.0,0.4,2.9591440571591527,0.023578849509075173,0.0,7.155417527999327,0.0
166,14.8,68.1255238095238,0.13510206376441997,0.0,13.2,0.0,0.4,2.8384660927404304,0.025694813598038827,0.0,5.670978751503131,0.0
167,14.8,68.08199999999998,0.13486285585387386,0.0,5.6,0.0,0.4,2.9484406409408757,0.024737502507651925,0.0,4.079215610874228,0.0
168,14.8,68.93352380952379,0.1363613021020069,0.0,19.6,0.0,0.4,2.945656822065085,0.022415769054475433,0.0,4.5431266766402185,0.0
169,14.8,69.43409523809521,0.13611049075216525,0.0,14.4,0.0,0.4,3.02590001378498,0.02269309270475958,0.0,5.986651818838306,0.0
170,14.8,69.78266666666664,0.13595093836451702,0.0,12.0,0.0,0.4,2.7657933151505416,0.024618424380669086,0.0,6.196773353931867,0.0
171,14.8,69.93876190476186,0.13469344061007188,0.0,8.8,0.0,0.4,2.905132343280198,0.02441474277120572,0.0,3.9191835884530852,0.0
