timestep,AgentsAlive,AvgEnergy,CommunityPool,GiniEnergy,AgentsAlive_std,AvgEnergy_std,CommunityPool_std,GiniEnergy_std
67,12.9,8.427233876147806,31.535568720800264,0.20356474778918265,1.374772708486752,1.8961067866850176,45.31146771261467,0.13134368983130384
68,12.9,8.319745210509002,32.87390064053384,0.21064459531907986,1.374772708486752,1.8263506059243857,45.710526802085276,0.1360352978480797
69,12.7,8.301050966418867,35.594931213064854,0.21159191185347045,1.345362404707371,1.8089264995792385,47.740444908910014,0.12851339193479105
70,12.7,8.578689265010892,33.68145573312046,0.17627619465512065,1.345362404707371,1.808843729405981,51.47808099719085,0.11834304680292206
71,12.7,8.472919452935063,35.58485396320895,0.1813032136893243,1.345362404707371,1.8912259186453266,53.2105253459596,0.11072538692759892
72,12.7,8.275642529858139,36.688853963208956,0.194512883897988,1.345362404707371,1.941407821697405,52.88413321565786,0.11736784454544713
73,12.4,8.402327800105368,38.52083628869868,0.18088267572575648,1.7435595774162693,1.5267624509429871,52.51565643780855,0.10813296287183284
74,12.3,8.45385574271759,40.828836288698675,0.18514192779732602,1.7916472867168916,1.3254566248301876,52.625807427636914,0.09457808816268382
75,12.3,10.823889560516687,12.340590288087716,0.22464383691249118,1.7916472867168916,4.9829126739524785,32.643746471845674,0.1507333497876198
76,12.3,9.852095188832816,23.24630852917993,0.19536625058184645,1.7916472867168916,4.588551661765208,42.91742391049787,0.13803974644748482
77,12.3,9.670830952594189,24.787611277049745,0.21055180979699223,1.7916472867168916,4.391075220207636,44.19306860671248,0.14564234811917295
78,12.3,9.544924217310342,26.076207587394283,0.2209692277668703,1.7916472867168916,4.174174802088398,44.45171878479907,0.1520320859150172
79,12.3,9.339943797729923,27.614207587394283,0.23998998113579056,1.7916472867168916,4.083942808524519,45.139188863747805,0.15676934169279153
80,12.3,10.305866074425897,13.64741850812355,0.2555140415658476,1.7916472867168916,4.564269673002263,36.84798553167644,0.16465106974158686
81,12.3,10.443414326174148,14.901418508123552,0.2590505966041713,1.7916472867168916,4.60150486792064,36.44970321581928,0.1528716446055251
82,12.3,10.053329244589067,15.36341850812355,0.26961272116567586,1.7916472867168916,4.463609182762676,36.307006817118946,0.1486012668396581
83,12.2,9.9113850617995,16.189418508123545,0.2675861449791407,1.7776388834631176,4.414455112824612,36.01854384401043,0.15512123794243857
84,12.0,9.836597904122902,16.819275992572212,0.2627161105879091,1.8973665961010275,4.296520998143465,35.80676040258153,0.1641422701394829
85,12.0,10.012079398128147,14.529297172048938,0.2205013188517695,1.8973665961010275,3.6119611908685445,39.01176191713694,0.15306453068981496
86,12.0,9.946089032937781,16.410297172048935,0.2411725208477764,1.8973665961010275,3.5060007405228975,39.17960612439177,0.1505482945989348
87,12.0,9.783377144825893,17.50629717204893,0.2515249219783775,1.8973665961010275,3.466560885348319,38.797929695556505,0.1496501233254334
88,12.0,9.657153368602117,18.53829717204893,0.26172717641835364,1.8973665961010275,3.370882466233173,38.468455483141376,0.15034799372595217
89,11.7,9.487451152730854,19.73629717204893,0.26486318457026853,1.9519221295943134,3.3105394833495625,39.18823109009422,0.13740929466476676
90,11.7,11.150647561684362,1.6658582867492187,0.2482985210603549,1.9519221295943134,4.611905266420324,1.5302940542532961,0.16455178368687323
91,11.7,10.560227333690984,8.591105700619877,0.24442461236244611,1.9519221295943134,3.8449355830860767,18.534503850070763,0.1477949116311412
92,11.7,9.972563600252762,16.099490850162475,0.22491702570193847,1.9519221295943134,3.4249650708981147,36.319016812599585,0.13845241624893062
93,11.7,9.866367908625685,17.12347850079536,0.23399000135710385,1.9519221295943134,3.310198081023679,37.09594366174493,0.1342518444267001
94,11.7,9.702683060140833,18.207478500795357,0.24175922994818513,1.9519221295943134,3.297264744173733,37.47176112149733,0.14046760057867602
95,11.7,11.24371289723708,2.670894989021259,0.25482277422693,1.9519221295943134,4.542872326351727,2.4423667005811662,0.15700690501442566
96,11.7,9.887660775569028,15.463556750922237,0.21244459288560588,1.9519221295943134,3.2355037028541123,35.37335226418344,0.1327266365194036
97,11.7,9.77042425653251,17.259556750922236,0.22105270054529697,1.9519221295943134,3.3220246841399796,37.18760686045722,0.1321185615830675
98,11.7,9.53232417883243,18.087556750922236,0.23819519392810876,1.9519221295943134,3.285134057736822,37.62595137801606,0.12995170999905767
99,11.6,9.502669966386865,19.16262217148298,0.24557332870780738,1.9078784028338913,3.4835257231184467,38.29459275939013,0.12254861813177306
100,11.6,10.918426371797276,2.4734642494289285,0.2661900923498014,1.9078784028338913,4.757140446416827,2.4755714588926017,0.1399338376205788
101,11.6,10.810017695332592,3.6976532154899786,0.2678741701269193,1.9078784028338913,4.782249754702067,2.7323053617942286,0.13945589966134062
102,11.6,9.736759994923428,17.450787919990766,0.2310284083215138,1.9078784028338913,3.624813898094203,37.542731237646855,0.12298509083159866
103,11.6,9.604204439367873,18.65478791999076,0.23706099781599943,1.9078784028338913,3.653525810561886,38.27296238564976,0.11928077653914845
104,11.6,9.394270095933528,19.670787919990758,0.2417324220576859,1.9078784028338913,3.5009764691502436,39.78602836939557,0.12089951891761833
105,11.6,9.750059310540806,15.200978123402347,0.20762432260818692,1.9078784028338913,3.603273759724758,41.90709459568636,0.12225871177692299
106,11.6,9.64230981559131,16.660978123402348,0.21355233117746195,1.9078784028338913,3.4574905762870065,42.69849232277877,0.1298531400003878
107,11.6,9.607567391348885,18.762978123402352,0.23120704083820934,1.9078784028338913,3.416347040845799,44.05369759504373,0.1240239421256666
108,11.6,9.3205710587561,20.120191781148,0.2508321663304772,1.9078784028338913,3.328685599045657,44.34243079801683,0.13749840508441374
109,11.6,9.037072483213532,20.706368627052772,0.2587438383949907,1.9078784028338913,3.2593530401421225,44.5251334533918,0.12983024784349192
110,11.6,9.410002959932028,17.065404116927613,0.2219509154134494,1.9078784028338913,3.222524123002014,47.384343882192695,0.12795860503425796
111,11.6,9.048857505386573,17.339404116927614,0.23411613478675575,1.9078784028338913,3.228169086816284,47.447352973828956,0.13549966639151648
112,11.6,8.921900138814314,18.311340373087265,0.2401887239631006,1.9078784028338913,3.068567011797347,47.148972282612064,0.13793794385145655
113,11.6,8.75657690649108,19.603340373087267,0.24726720373156716,1.9078784028338913,3.027983308392919,47.10242654334231,0.13867818988668937
114,11.6,8.651409229723404,20.88934037308727,0.2674481438564091,1.9078784028338913,2.973845624109622,47.5295287160319,0.13301788202963602
