Step,Ideology_adaptive_mean,Ideology_adaptive_direct_mean,AvgEnergy_mean,CommunityPool_mean,TotalScar_mean,Renewables_mean,NonRenewables_mean,InfrastructureSites_mean,AgentsAlive_mean,GiniEnergy_mean,AvgAdaptiveReward_mean,MinedRenewable_mean,MinedNonrenewable_mean,AvgAdaptiveEpsilon_mean,AvgAdaptiveEpsilonGlobal_mean,Ideology_adaptive_std,Ideology_adaptive_direct_std,AvgEnergy_std,CommunityPool_std,TotalScar_std,Renewables_std,NonRenewables_std,InfrastructureSites_std,AgentsAlive_std,GiniEnergy_std,AvgAdaptiveReward_std,MinedRenewable_std,MinedNonrenewable_std,AvgAdaptiveEpsilon_std,AvgAdaptiveEpsilonGlobal_std
261,15.0,0.0,10.312999999999985,0.0,1.5099999999999987,100.0,100.0,0.0,15.0,0.2975919608451387,1.0036666666666665,0.4,0.5,0.8085435016888318,0.05,0.0,0.0,1.140165420097097,0.0,1.0798353784000796,0.0,0.0,0.0,0.0,0.06429044724020427,0.011595018087284017,1.2649110640673518,1.5811388300841895,0.001271570201937829,0.0
262,15.0,0.0,10.11966666666665,0.0,1.6499999999999986,100.0,100.0,0.0,15.0,0.30423227310265133,0.994,0.0,1.0,0.8083265606975999,0.05,0.0,0.0,1.1913088144381494,0.0,0.8940544353300487,0.0,0.0,0.0,0.0,0.06357969293351985,0.03530467041464088,0.0,2.1081851067789197,0.001228455887595517,0.0
263,15.0,0.0,9.646333333333317,0.0,1.5619999999999987,100.0,100.0,0.0,15.0,0.3193215085535418,1.0046666666666666,0.6,0.0,0.8083265606975999,0.05,0.0,0.0,1.1681184195000576,0.0,0.8518841861818223,0.0,0.0,0.0,0.0,0.06851382830857591,0.014757295747452492,1.8973665961010275,0.0,0.001228455887595517,0.0
264,15.0,0.0,10.277566666666651,0.0,1.7759999999999987,100.0,100.0,0.0,15.0,0.2974973977653844,0.9586849999999998,0.1685,1.5,0.807458796732672,0.05,0.0,0.0,1.5241422769042667,0.0,1.0522695049801216,0.0,0.0,0.0,0.0,0.046674637236780725,0.06881803455221332,0.532843785738372,2.41522945769824,0.0019243859224206564,0.0
265,15.0,0.0,9.770899999999983,0.0,1.7599999999999987,100.0,100.0,0.0,15.0,0.31560303987770133,1.0036666666666665,0.8,0.5,0.807458796732672,0.05,0.0,0.0,1.494401338081329,0.0,1.1116354318450505,0.0,0.0,0.0,0.0,0.05192175577576417,0.011595018087284028,1.6865480854231356,1.5811388300841895,0.0019243859224206564,0.0
266,15.0,0.0,10.210899999999985,0.0,1.6679999999999986,100.0,100.0,0.0,15.0,0.29945108488746797,0.9546666666666667,0.2,0.0,0.8066972895797759,0.05,0.0,0.0,2.0586336835896506,0.0,1.0695668905371616,0.0,0.0,0.0,0.0,0.057033296379112114,0.054505634548465354,0.6324555320336759,0.0,0.0022899757484837894,0.0
267,15.0,0.0,9.87756666666665,0.0,1.5759999999999985,100.0,100.0,0.0,15.0,0.3127416677001223,1.002,0.6,1.0,0.8065888190841599,0.05,0.0,0.0,1.854197720422438,0.0,1.0285610228750537,0.0,0.0,0.0,0.0,0.05929253537132093,0.02842360347612353,1.349897115421106,2.1081851067789192,0.002181929289764943,0.0
268,15.0,0.0,9.810899999999984,0.0,1.4839999999999987,100.0,100.0,0.0,15.0,0.3167970211653476,0.986,0.3,0.5,0.8062611939137281,0.05,0.0,0.0,1.8368376747034258,0.0,0.9887500526759356,0.0,0.0,0.0,0.0,0.06824514843010224,0.04599516882842755,0.9486832980505138,1.5811388300841898,0.0021113856195348075,0.0
269,15.0,0.0,9.710899999999985,0.0,1.3939999999999988,100.0,100.0,0.0,15.0,0.3258646741346746,0.9799999999999999,0.0,0.0,0.8059357824268799,0.05,0.0,0.0,1.570196905557463,0.0,0.9486856404755178,0.0,0.0,0.0,0.0,0.07260125491195077,0.03220305943597649,0.0,0.0,0.0020453392802330106,0.0
270,15.0,0.0,10.990899999999986,0.0,1.5309999999999988,100.0,100.0,0.0,15.0,0.2819717370817766,0.9243333333333332,0.4,1.5,0.8045256659838721,0.05,0.0,0.0,1.4891120234953878,0.0,0.9301308151724319,0.0,0.0,0.0,0.0,0.054489007744528965,0.0930292666016692,1.2649110640673518,2.41522945769824,0.001916653161050925,0.0
271,15.0,0.0,10.470899999999984,0.0,1.4469999999999987,100.0,100.0,0.0,15.0,0.2965088589809022,1.0013333333333332,1.0,0.0,0.8045256659838721,0.05,0.0,0.0,1.4543738379432698,0.0,0.8993831219230208,0.0,0.0,0.0,0.0,0.055931109511422404,0.004216370213557821,2.5385910352879697,0.0,0.001916653161050925,0.0
272,15.0,0.0,10.493266666666651,0.0,1.5149999999999988,100.0,100.0,0.0,15.0,0.28947930001022176,0.9783333333333333,1.4,0.5,0.804091784001408,0.05,0.0,0.0,1.690657734524836,0.0,0.9810113828765353,0.0,0.0,0.0,0.0,0.0540031567732739,0.06771855335973885,1.8973665961010278,1.5811388300841898,0.0016210200945547737,0.0
273,15.0,0.0,10.066599999999983,0.0,1.505999999999999,100.0,100.0,0.0,15.0,0.302337211912863,1.0133333333333332,0.3,1.5,0.804091784001408,0.05,0.0,0.0,1.7073634630803536,0.0,1.0740287602190997,0.0,0.0,0.0,0.0,0.057597883021085844,0.017638342073763958,0.9486832980505138,2.41522945769824,0.0016210200945547737,0.0
274,15.0,0.0,10.379933333333318,0.0,1.5709999999999986,100.0,100.0,0.0,15.0,0.2953352964768502,0.9673333333333332,0.8,1.0,0.803440961027712,0.05,0.0,0.0,1.4140269506922274,0.0,1.1639726037249423,0.0,0.0,0.0,0.0,0.049862431554090036,0.06705074547785281,1.6865480854231358,2.1081851067789197,0.0013576878331701674,0.0
275,15.0,0.0,9.926599999999985,0.0,1.4859999999999987,100.0,100.0,0.0,15.0,0.307672694933984,1.008,1.0,0.0,0.803440961027712,0.05,0.0,0.0,1.4279823009588952,0.0,1.1218952218852203,0.0,0.0,0.0,0.0,0.05298127800253843,0.01860572061238623,2.309401076758503,0.0,0.0013576878331701674,0.0
276,15.0,0.0,10.493266666666651,0.0,1.4039999999999988,100.0,100.0,0.0,15.0,0.2912719335553528,0.9536666666666666,1.6,0.5,0.802573197062784,0.05,0.0,0.0,0.7603135285712058,0.0,1.083760941249396,0.0,0.0,0.0,0.0,0.039696031078155856,0.0576162271381043,2.7968235951204043,1.5811388300841898,0.0012986293826245583,0.0
277,15.0,0.0,10.046599999999984,0.0,1.549999999999999,100.0,100.0,0.0,15.0,0.3043145596132514,1.0126666666666666,0.7,1.5,0.802573197062784,0.05,0.0,0.0,0.7051910659574294,0.0,1.2094075684675802,0.0,0.0,0.0,0.0,0.04292390337272475,0.01783324679799018,1.3374935098492586,2.41522945769824,0.0012986293826245583,0.0
278,15.0,0.0,10.199933333333316,0.0,1.4719999999999989,100.0,100.0,0.0,15.0,0.29558237861606546,0.9666666666666666,0.4,0.0,0.8020330139946162,0.05,0.0,0.0,1.3155137455818617,0.0,1.1606396703733866,0.0,0.0,0.0,0.0,0.037315537711046384,0.05665577237325312,1.2649110640673518,0.0,0.0015469192508197945,0.0
279,15.0,0.0,9.819933333333317,0.0,1.398999999999999,100.0,100.0,0.0,15.0,0.30753859684071677,0.9936666666666666,0.5,0.0,0.8019245434990003,0.05,0.0,0.0,1.3810093356618527,0.0,1.111689904804592,0.0,0.0,0.0,0.0,0.043103770317827556,0.021224839861833926,1.5811388300841895,0.0,0.0014466510644307734,0.0
280,15.0,0.0,10.01326666666665,0.0,1.476999999999999,100.0,100.0,0.0,15.0,0.30386094435377276,0.9719999999999999,0.3,0.5,0.8013886992506573,0.05,0.0,0.0,1.2752654025392458,0.0,1.32345549394169,0.0,0.0,0.0,0.0,0.03553053058361148,0.05154885013865279,0.6749485577105528,1.5811388300841898,0.0016707805583047667,0.0
281,15.0,0.0,9.65326666666665,0.0,1.553999999999999,100.0,100.0,0.0,15.0,0.31768152983202447,0.9969999999999999,0.4,0.5,0.8012802287550412,0.05,0.0,0.0,1.4636000330657732,0.0,1.6356663609808828,0.0,0.0,0.0,0.0,0.04603710803973565,0.025163661826991958,1.2649110640673518,1.5811388300841898,0.0018375697361977413,0.0
282,15.0,0.0,9.934566666666651,0.0,1.4779999999999989,100.0,100.0,0.0,15.0,0.3128570363203619,0.9613333333333334,1.0,0.0,0.8006337446011699,0.05,0.0,0.0,1.3206621613586307,0.0,1.5803009558660368,0.0,0.0,0.0,0.0,0.04977478850798515,0.045952202757556716,1.699673171197595,0.0,0.0019389287774336447,0.0
283,15.0,0.0,9.467899999999982,0.0,1.4789999999999988,100.0,100.0,0.0,15.0,0.32837546462779643,1.009,0.7,1.0,0.8006337446011699,0.05,0.0,0.0,1.318496300738738,0.0,1.5769974987650135,0.0,0.0,0.0,0.0,0.05414964079866117,0.016028523957211823,1.8885620632287057,2.1081851067789197,0.0019389287774336447,0.0
284,15.0,0.0,9.51456666666665,0.0,1.477999999999999,100.0,100.0,0.0,15.0,0.3276906679737211,0.9783333333333333,0.6,0.5,0.8002042014385304,0.05,0.0,0.0,1.1798497084662545,0.0,1.458886942539109,0.0,0.0,0.0,0.0,0.04595796935373961,0.03285771796138064,1.8973665961010275,1.5811388300841898,0.0018407144459970653,0.0
285,15.0,0.0,9.021233333333317,0.0,1.4759999999999989,100.0,100.0,0.0,15.0,0.34724349839025825,1.004,0.5,0.5,0.8002042014385304,0.05,0.0,0.0,1.1581924619908173,0.0,1.4815097404712225,0.0,0.0,0.0,0.0,0.049948927161953205,0.011525602204346645,1.5811388300841895,1.5811388300841898,0.0018407144459970653,0.0
286,15.0,0.0,8.83456666666665,0.0,1.3369999999999989,100.0,100.0,0.0,15.0,0.35822130058129886,0.9949999999999999,0.6,0.5,0.7999915992671232,0.05,0.0,0.0,1.2901365230657387,0.0,1.2727664532208736,0.0,0.0,0.0,0.0,0.054357488193224716,0.035390240685851074,1.3498971154211057,1.5811388300841898,0.0017824401333948047,0.0
287,15.0,0.0,8.361233333333315,0.0,1.3399999999999987,100.0,100.0,0.0,15.0,0.38022908258608756,1.005,0.2,0.5,0.7999915992671232,0.05,0.0,0.0,1.2997184505181456,0.0,1.340671473553457,0.0,0.0,0.0,0.0,0.060739140057103284,0.015811388300841844,0.6324555320336759,1.5811388300841898,0.0017824401333948047,0.0
288,15.0,0.0,9.940699999999984,0.0,1.4149999999999987,100.0,100.0,0.0,15.0,0.3422348686733275,0.9139199999999998,1.2920000000000003,0.5,0.7983688806527078,0.05,0.0,0.0,1.4438013136624224,0.0,1.406249938271603,0.0,0.0,0.0,0.0,0.06664350851134979,0.06371219857227949,2.095332378831048,1.5811388300841895,0.0015273015564036879,0.0
289,15.0,0.0,9.460699999999983,0.0,1.3409999999999989,100.0,100.0,0.0,15.0,0.36046167576411847,1.004,0.1,0.5,0.7983688806527078,0.05,0.0,0.0,1.4573230189225332,0.0,1.3421082089177618,0.0,0.0,0.0,0.0,0.07339991602175244,0.011525602204346615,0.31622776601683794,1.5811388300841898,0.0015273015564036879,0.0
290,15.0,0.0,10.414033333333318,0.0,1.2689999999999988,100.0,100.0,0.0,15.0,0.32841005970222004,0.9266666666666665,0.4,0.0,0.7971887216604057,0.05,0.0,0.0,1.4030473927917615,0.0,1.2812186039513744,0.0,0.0,0.0,0.0,0.047850358270780616,0.09660917830792959,1.2649110640673518,0.0,0.0016353379718841395,0.0
291,15.0,0.0,10.102799999999984,0.0,1.1969999999999987,100.0,100.0,0.0,15.0,0.34001649333729533,1.003,0.3,1.0,0.7970802511647898,0.05,0.0,0.0,1.4477600851651962,0.0,1.2204375353854764,0.0,0.0,0.0,0.0,0.05452759513202922,0.02230263229772234,0.9486832980505138,2.1081851067789197,0.001583844231995295,0.0
292,15.0,0.0,10.542799999999984,0.0,1.125999999999999,100.0,100.0,0.0,15.0,0.3250205286262773,0.9566666666666667,0.8,0.0,0.7963318047450393,0.05,0.0,0.0,1.5676474093366808,0.0,1.161466505950319,0.0,0.0,0.0,0.0,0.0611110130290054,0.058899370136438096,1.6865480854231356,0.0,0.0017806804708441373,0.0
293,15.0,0.0,10.049466666666651,0.0,1.0559999999999987,100.0,100.0,0.0,15.0,0.3417366858549553,1.0013333333333332,0.2,0.0,0.7963318047450393,0.05,0.0,0.0,1.5704195806405583,0.0,1.1043570276158172,0.0,0.0,0.0,0.0,0.06666424393662009,0.0042163702135578,0.6324555320336759,0.0,0.0017806804708441373,0.0
294,15.0,0.0,11.709466666666653,0.0,1.0609999999999988,100.0,100.0,0.0,15.0,0.280954886458799,0.901,0.5,1.0,0.7946158015043941,0.05,0.0,0.0,1.8351835458377428,0.0,1.1933561450333623,0.0,0.0,0.0,0.0,0.07248276133647708,0.05985682505924309,1.5811388300841895,2.1081851067789197,0.001759045291969971,0.0
295,15.0,0.0,11.349466666666654,0.0,0.988999999999999,100.0,100.0,0.0,15.0,0.28956542810930025,0.9973333333333333,0.5,0.5,0.7945073310087782,0.05,0.0,0.0,1.7631244376719584,0.0,1.1345136011133181,0.0,0.0,0.0,0.0,0.07183957258080761,0.009660917830792858,1.2692955176439846,1.5811388300841898,0.0016810648396907268,0.0
296,15.0,0.0,11.267199999999987,0.0,0.9969999999999988,100.0,100.0,0.0,15.0,0.2865440461357678,0.9883266666666666,1.466,0.5,0.7941862583417548,0.05,0.0,0.0,1.6509540541423005,0.0,1.1899210991583518,0.0,0.0,0.0,0.0,0.07146178204341497,0.04171258817606118,1.6936971393965334,1.5811388300841898,0.0017009919973325854,0.0
297,15.0,0.0,11.027199999999986,0.0,0.9309999999999988,100.0,100.0,0.0,15.0,0.29008922711331264,0.9899999999999999,1.2,0.0,0.7939736561703474,0.05,0.0,0.0,1.4002179389449403,0.0,1.129586453333942,0.0,0.0,0.0,0.0,0.0648145124582929,0.03162277660168372,1.9321835661585918,0.0,0.0013706520372871473,0.0
298,15.0,0.0,11.207199999999986,0.0,0.8669999999999991,100.0,100.0,0.0,15.0,0.2808443293551598,0.9713333333333333,1.0,0.0,0.7934421507418291,0.05,0.0,0.0,1.0173030940605603,0.0,1.0729404042681538,0.0,0.0,0.0,0.0,0.04583508011458886,0.04576375189660828,3.162277660168379,0.0,0.0013485073265440614,0.0
299,15.0,0.0,10.893866666666653,0.0,1.0279999999999991,100.0,100.0,0.0,15.0,0.28772105892406286,1.0056666666666667,1.1,1.0,0.7933358496561255,0.05,0.0,0.0,1.1529705723654642,0.0,1.3663641941704667,0.0,0.0,0.0,0.0,0.05117323070518503,0.02994026975640705,1.7919573407620817,2.1081851067789197,0.0014263510433694974,0.0
300,15.0,0.0,10.987199999999985,0.0,1.336999999999999,100.0,100.0,0.0,15.0,0.27977682769249246,0.984,0.4,1.0,0.792906306493486,0.05,0.0,0.0,1.251965725480448,0.0,1.633258841838746,0.0,0.0,0.0,0.0,0.04677182486459509,0.05057203638570955,1.2649110640673518,2.1081851067789197,0.0009261345045361142,0.0
301,15.0,0.0,10.513866666666653,0.0,1.4149999999999991,100.0,100.0,0.0,15.0,0.2935133670054426,1.005,0.2,0.5,0.792906306493486,0.05,0.0,0.0,1.2125511947955043,0.0,1.4959667999881094,0.0,0.0,0.0,0.0,0.050551726912367645,0.015811388300841948,0.6324555320336759,1.5811388300841895,0.0009261345045361142,0.0
302,15.0,0.0,10.401833333333318,0.0,1.3449999999999993,100.0,100.0,0.0,15.0,0.295766260968179,0.9799999999999999,0.4,0.0,0.792587403236375,0.05,0.0,0.0,0.9885030114793318,0.0,1.4308835654160599,0.0,0.0,0.0,0.0,0.04150270682988806,0.032203059435976525,1.2649110640673518,0.0,0.0008913110088678692,0.0
303,15.0,0.0,9.948499999999985,0.0,1.500999999999999,100.0,100.0,0.0,15.0,0.3097255427419599,1.0086666666666666,0.2,1.0,0.792587403236375,0.05,0.0,0.0,0.9626147165884157,0.0,1.4981429244975994,0.0,0.0,0.0,0.0,0.049546051916456064,0.015331722942809144,0.6324555320336759,2.1081851067789197,0.0008913110088678692,0.0
304,15.0,0.0,10.661833333333318,0.0,1.4309999999999992,100.0,100.0,0.0,15.0,0.2828281116857435,0.9466666666666667,1.6,0.0,0.7916285240551295,0.05,0.0,0.0,1.5412436636898812,0.0,1.4358075544213198,0.0,0.0,0.0,0.0,0.05427296312142436,0.05488484015657097,2.7968235951204043,0.0,0.0014192742496408595,0.0
305,15.0,0.0,10.233033333333319,0.0,1.510999999999999,100.0,100.0,0.0,15.0,0.2959003555668507,1.0130133333333333,0.7680000000000001,1.0,0.7916285240551295,0.05,0.0,0.0,1.5517325438535892,0.0,1.3805590654996733,0.0,0.0,0.0,0.0,0.05909766847114606,0.01628562344106596,1.371299464822408,2.1081851067789197,0.0014192742496408595,0.0
306,15.0,0.0,10.408499999999986,0.0,1.4369999999999992,100.0,100.0,0.0,15.0,0.29025509981664865,0.9686533333333334,0.332,0.0,0.7910970186266112,0.05,0.0,0.0,1.569627377735965,0.0,1.3160804602218574,0.0,0.0,0.0,0.0,0.056180186504021574,0.049080048497264384,1.049876183175902,0.0,0.0016446550132414473,0.0
307,15.0,0.0,10.035166666666651,0.0,1.364999999999999,100.0,100.0,0.0,15.0,0.30259265091195026,0.9946666666666666,0.6,0.0,0.7909907175409074,0.05,0.0,0.0,1.393710468630547,0.0,1.2533266843795259,0.0,0.0,0.0,0.0,0.055174890237806196,0.02195393606262835,1.3498971154211057,0.0,0.0016180317597781736,0.0
308,15.0,0.0,10.101833333333317,0.0,1.2959999999999992,100.0,100.0,0.0,15.0,0.29871901557757424,0.9836666666666666,1.6,0.5,0.7905633437881805,0.05,0.0,0.0,1.450662422124104,0.0,1.1932886397589546,0.0,0.0,0.0,0.0,0.05515047941467564,0.03914045616292655,2.7968235951204043,1.5811388300841898,0.0017384842460211297,0.0
309,15.0,0.0,10.061699999999984,0.0,1.5259999999999991,100.0,100.0,0.0,15.0,0.3051351969210357,0.9933133333333333,1.198,1.0,0.7902444405310695,0.05,0.0,0.0,1.2981490569553562,0.0,1.0193265750811489,0.0,0.0,0.0,0.0,0.05663270949868753,0.04314207421880908,1.616868028696907,2.1081851067789197,0.0018200661065443829,0.0
310,15.0,0.0,10.941699999999985,0.0,1.745999999999999,100.0,100.0,0.0,15.0,0.275364508087249,0.9443333333333331,0.9,1.0,0.7891814296740326,0.05,0.0,0.0,1.6300230586114255,0.0,1.2644911141553254,0.0,0.0,0.0,0.0,0.04914350875876283,0.07670771847783033,1.5238839267549948,2.1081851067789197,0.0018186577334800191,0.0
311,15.0,0.0,10.466533333333318,0.0,1.7429999999999992,100.0,100.0,0.0,15.0,0.2866662118306462,1.0050583333333332,0.2725,0.5,0.7891814296740326,0.05,0.0,0.0,1.6235718601851885,0.0,1.1175275288679811,0.0,0.0,0.0,0.0,0.05513971227471263,0.011863553612682327,0.6483365466929794,1.5811388300841895,0.0018186577334800191,0.0
312,15.0,0.0,10.793199999999985,0.0,1.738999999999999,100.0,100.0,0.0,15.0,0.2763569217227817,0.967,0.8,0.5,0.7885414537498983,0.05,0.0,0.0,1.5601593476704436,0.0,1.0256103873628941,0.0,0.0,0.0,0.0,0.04978555288242104,0.07063119305306091,1.6865480854231358,1.5811388300841895,0.0014865269234148593,0.0
313,15.0,0.0,10.33986666666665,0.0,1.7359999999999993,100.0,100.0,0.0,15.0,0.286631419970067,1.0086666666666666,0.2,1.0,0.7885414537498983,0.05,0.0,0.0,1.5054755714711232,0.0,0.9629260961603783,0.0,0.0,0.0,0.0,0.05032620629037948,0.015331722942809196,0.6324555320336759,2.1081851067789197,0.0014865269234148593,0.0
314,15.0,0.0,10.513199999999983,0.0,1.656999999999999,100.0,100.0,0.0,15.0,0.28020952697346874,0.9703333333333333,0.9,0.0,0.7880120743430938,0.05,0.0,0.0,1.641087987499774,0.0,0.9234001179216825,0.0,0.0,0.0,0.0,0.059488685743819686,0.06733828364641056,1.5238839267549946,0.0,0.0015865577014634454,0.0
315,15.0,0.0,10.05986666666665,0.0,1.6559999999999993,100.0,100.0,0.0,15.0,0.2941792541036419,1.0086666666666666,0.2,1.0,0.7880120743430938,0.05,0.0,0.0,1.6473063399919836,0.0,0.8352803920440923,0.0,0.0,0.0,0.0,0.06841734390374435,0.015331722942809186,0.6324555320336759,2.1081851067789192,0.0015865577014634454,0.0
316,15.0,0.0,10.360399999999983,0.0,1.579999999999999,100.0,100.0,0.0,15.0,0.28649221177420653,0.96,0.0,0.0,0.7873742678288718,0.05,0.0,0.0,1.6540161806723466,0.0,0.7974542829111475,0.0,0.0,0.0,0.0,0.07171038831604847,0.04661372658534005,0.0,0.0,0.0018760580672358546,0.0
317,15.0,0.0,9.94706666666665,0.0,1.579999999999999,100.0,100.0,0.0,15.0,0.2987092624465936,1.0153333333333332,1.0,1.0,0.7873742678288718,0.05,0.0,0.0,1.7551078599334027,0.0,0.9336547065757822,0.0,0.0,0.0,0.0,0.0804757325963481,0.021727833887253818,1.632993161855452,2.1081851067789197,0.0018760580672358546,0.0
318,15.0,0.0,9.96706666666665,0.0,1.504999999999999,100.0,100.0,0.0,15.0,0.2995630630309961,0.9756666666666666,1.1,0.0,0.7869490634860571,0.05,0.0,0.0,1.508740180857307,0.0,0.8888100659496,0.0,0.0,0.0,0.0,0.06934701583871906,0.04863697724525602,1.7919573407620817,0.0,0.001505342482120869,0.0
319,15.0,0.0,9.747066666666651,0.0,1.431999999999999,100.0,100.0,0.0,15.0,0.3036101166897483,0.994,1.3,0.5,0.7867364613146497,0.05,0.0,0.0,1.7196851980077408,0.0,0.8435875769592621,0.0,0.0,0.0,0.0,0.07459453786049687,0.025180827509716053,1.7669811040931427,1.5811388300841895,0.0016166605491214018,0.0
320,15.0,0.0,9.893733333333318,0.0,1.432999999999999,100.0,100.0,0.0,15.0,0.3009483404309909,0.9706666666666667,1.3,0.5,0.7862092079295595,0.05,0.0,0.0,1.4000323259054606,0.0,0.8340536886529276,0.0,0.0,0.0,0.0,0.05729555136479851,0.05052318866216374,2.6687491868330797,1.5811388300841898,0.0015153380404759962,0.0
321,15.0,0.0,9.393733333333316,0.0,1.360999999999999,100.0,100.0,0.0,15.0,0.3175367088907918,1.0006666666666666,0.2,0.0,0.7862092079295595,0.05,0.0,0.0,1.4000323259054606,0.0,0.7926390519439891,0.0,0.0,0.0,0.0,0.061784843875781995,0.0014054567378525699,0.42163702135578396,0.0,0.0015153380404759962,0.0
322,15.0,0.0,9.753733333333317,0.0,1.3649999999999989,100.0,100.0,0.0,15.0,0.3171557046848717,0.9703333333333333,0.8,0.5,0.7855756534587656,0.05,0.0,0.0,0.7907131614585069,0.0,0.8702266626830298,0.0,0.0,0.0,0.0,0.0517207316986836,0.05362075330676724,1.6865480854231358,1.5811388300841895,0.0012234121505783693,0.0
323,15.0,0.0,9.24706666666665,0.0,1.2949999999999988,100.0,100.0,0.0,15.0,0.33416048939811355,1.0016666666666665,0.7,0.0,0.7855756534587656,0.05,0.0,0.0,0.8242010092833579,0.0,0.8338964763886058,0.0,0.0,0.0,0.0,0.05503506167060065,0.004230985058813255,1.3374935098492586,0.0,0.0012234121505783693,0.0
324,15.0,0.0,9.42706666666665,0.0,1.2259999999999989,100.0,100.0,0.0,15.0,0.3329738545734754,0.9716666666666667,0.6,0.5,0.7850462740519613,0.05,0.0,0.0,0.9023955197551013,0.0,0.799808310367761,0.0,0.0,0.0,0.0,0.044919622164750615,0.04178871015353659,1.3498971154211057,1.5811388300841898,0.0012468311283422482,0.0
325,15.0,0.0,8.933733333333317,0.0,1.159999999999999,100.0,100.0,0.0,15.0,0.3512690877406103,1.0013333333333334,0.2,0.0,0.7850462740519613,0.05,0.0,0.0,0.9054488798789683,0.0,0.7657385686744235,0.0,0.0,0.0,0.0,0.0471948211720146,0.004216370213557873,0.6324555320336759,0.0,0.0012468311283422482,0.0
326,15.0,0.0,8.980399999999984,0.0,1.168999999999999,100.0,100.0,0.0,15.0,0.35272226672517776,0.9806666666666667,0.8,1.0,0.7846274477742887,0.05,0.0,0.0,1.3645253848594878,0.0,0.6794679290935416,0.0,0.0,0.0,0.0,0.05559709301114499,0.036270588023294525,1.6865480854231358,2.1081851067789197,0.0016092812571313203,0.0
327,15.0,0.0,8.69676666666665,0.0,1.1759999999999988,100.0,100.0,0.0,15.0,0.3650146978093948,1.0076666666666667,0.9,1.0,0.784521146688585,0.05,0.0,0.0,1.5943714427732556,0.0,0.7846046421252195,0.0,0.0,0.0,0.0,0.06499133676664497,0.03170270853405204,1.5238839267549946,2.1081851067789197,0.00179711234830176,0.0
328,15.0,0.0,9.91676666666665,0.0,1.107999999999999,100.0,100.0,0.0,15.0,0.3369906830077679,0.9133333333333333,0.4,0.0,0.7831434846178653,0.05,0.0,0.0,1.5572716093964178,0.0,0.7460086386154573,0.0,0.0,0.0,0.0,0.0618867670022491,0.07062332703142535,1.2649110640673518,0.0,0.001581262544736454,0.0
329,15.0,0.0,9.410099999999982,0.0,1.039999999999999,100.0,100.0,0.0,15.0,0.3562264845037616,1.0013333333333332,0.6,0.0,0.7831434846178653,0.05,0.0,0.0,1.5491136617553423,0.0,0.7077193417355964,0.0,0.0,0.0,0.0,0.06782145460067748,0.004216370213557792,1.349897115421106,0.0,0.001581262544736454,0.0
330,15.0,0.0,10.163433333333318,0.0,1.0449999999999988,100.0,100.0,0.0,15.0,0.3300340789205141,0.952,1.0,1.0,0.7822016569985307,0.05,0.0,0.0,1.7952882230170504,0.0,0.7001626795093959,0.0,0.0,0.0,0.0,0.058058097335557037,0.08406640526290605,1.699673171197595,2.1081851067789197,0.001973775781500893,0.0
331,15.0,0.0,9.810099999999984,0.0,0.9749999999999988,100.0,100.0,0.0,15.0,0.343232554422342,0.9956666666666665,0.3,0.0,0.782095355912827,0.05,0.0,0.0,1.848005946024856,0.0,0.6657702306351639,0.0,0.0,0.0,0.0,0.06383269120994708,0.02309668353083314,0.9486832980505138,0.0,0.0019265192891763725,0.0
332,15.0,0.0,10.243433333333318,0.0,0.9059999999999988,100.0,100.0,0.0,15.0,0.3279412584590746,0.9533333333333334,0.0,0.0,0.7813555003563295,0.05,0.0,0.0,2.359452761673334,0.0,0.630999207606475,0.0,0.0,0.0,0.0,0.07875455005541859,0.054884840156570976,0.0,0.0,0.0025316030018334846,0.0
333,15.0,0.0,9.756766666666651,0.0,0.8379999999999989,100.0,100.0,0.0,15.0,0.3481282005989429,1.0073333333333332,0.8,1.0,0.7813555003563295,0.05,0.0,0.0,2.33747823413647,0.0,0.5958896243805927,0.0,0.0,0.0,0.0,0.08886164567337677,0.015460024116378769,1.6865480854231356,2.1081851067789197,0.0025316030018334846,0.0
334,15.0,0.0,11.705566666666652,0.0,0.7709999999999988,100.0,100.0,0.0,15.0,0.28600539963049315,0.8886666666666667,0.2,1.0,0.7794612150090898,0.05,0.0,0.0,1.9344974148724428,0.0,0.5632731723299683,0.0,0.0,0.0,0.0,0.08917121833482002,0.05238037517719495,0.6324555320336759,2.1081851067789197,0.002197425116670961,0.0
335,15.0,0.0,11.35223333333332,0.0,0.7049999999999988,100.0,100.0,0.0,15.0,0.29375753437557267,0.9956666666666665,0.3,0.0,0.7793549139233862,0.05,0.0,0.0,1.8281804355528715,0.0,0.5330884854630916,0.0,0.0,0.0,0.0,0.08728644927298154,0.023096683530833058,0.9486832980505139,0.0,0.0021187678730856183,0.0
336,15.0,0.0,11.39223333333332,0.0,0.6409999999999989,100.0,100.0,0.0,15.0,0.28647704857587797,0.977,0.4,0.5,0.7789360876457136,0.05,0.0,0.0,1.9283481708190693,0.0,0.5008758994667902,0.0,0.0,0.0,0.0,0.08375706877224963,0.050245078378230924,1.2649110640673518,1.5811388300841898,0.0020955141050506866,0.0
